pH,turbidez,conductividad,sdt,etiqueta
6.936350297118406,48.87131998138216,13.194309056095902,22.84063292308576,0
8.376785766,37.52674564408843,36.18359562802365,11.682799299900976,0
7.829984854528512,21.666933140042943,23.94552728090041,13.232574281892276,0
7.496646210492591,56.96565137948641,31.325686264258707,27.971083770541583,0
6.390046601106091,47.93118207877155,46.487526009191534,22.12858119,0
6.389986300840507,11.38318575414239,21.47310470765725,10.183941032332593,0
6.1452090304204985,63.76490291456897,27.59455107535393,12.029430857320644,0
8.165440364437337,57.57760700462183,40.71094326463585,23.270035382161115,0
7.502787529358022,66.48599393043469,20.694330288681652,10.101231676924376,0
7.770181444490113,50.80036559,14.925236573494134,13.216161028349973,0
6.051461235739506,42.93906371550529,23.010555210723183,20.974675787331723,0
8.424774630404986,29.27701254034332,18.126408915652167,23.837903953853864,0
8.081106602001054,65.29099383478093,47.32851078901778,23.03922519005201,0
6.5308477766956905,60.62447226502859,42.70857442344784,14.485386189211196,0
6.454562418017751,3.1653069074332585,36.06934274739609,24.24358442695072,0
6.458511274633585,1.8456882148076403,45.11550242713327,14.744981749936002,0
6.760605607398844,26.352435681463472,42.53953892216635,16.507993963185356,0
7.311891079080595,56.73873315,19.08966223766936,24.92982810236048,0
7.079862546605289,69.10932905,45.91724194261916,22.99265798094429,0
6.728072850495105,10.529182377246972,32.49500519279473,26.98446820988356,0
7.5296322368059485,41.58915007464946,42.68272589623437,23.15225784600687,0
6.348734651630105,26.662359964171507,46.051469397092745,21.36617206670943,0
6.730361621338045,67.89400784702222,24.084132048930822,11.87349535656185,0
6.9159046082342295,58.94832461949961,16.181973132051716,17.35431606118867,0
7.1401749605425895,58.68300932977965,20.661536176593785,15.304047353634507,0
7.962939903482534,32.80852118564792,28.23009596779774,14.87979286758167,0
6.499184455395899,29.03736516363656,43.08456110505474,29.460211095048912,0
7.285586096034029,19.13849503514944,44.70776216374105,17.861954493335208,0
7.481036422155106,3.946284765564898,12.264180960185248,27.840931103542268,1
6.116126031799994,60.53056633785373,31.408397497947497,22.622772519945254,0
7.518862129753596,56.90307063910543,27.861618119653603,25.896226070832967,0
6.426310309218229,69.98023713002914,20.440096797887747,20.052741862103844,0
6.162628982463199,69.76457859517338,16.554883958679945,21.53807769252718,0
8.372213843133334,38.88021939218392,24.829376513337863,19.85035387637728,0
8.414080082686398,53.82911906263573,47.83056874867573,13.90485975596089,0
8.020993370291153,66.13360109176996,24.28171142,24.44904230523011,0
6.761534422933426,59.47531735,31.71404362624791,15.615447248817116,0
6.244180285015959,17.314367122023835,38.71472043801676,10.486319328629076,0
7.710582566280392,31.538089471706545,25.81792489041317,22.909445918143355,0
7.100381234349003,9.041159060604649,48.92771914339651,13.542213588140978,0
6.305095587111947,66.78357190811056,48.57299720780023,28.809171687058285,0
7.237942275278176,42.432224411561606,21.56772724136384,29.078571540051747,0
6.085971302788046,16.00499638524239,30.895443223910647,28.29728780440897,0
8.273301005196956,47.01904790840997,23.43337577303725,17.403174005108887,0
6.646949954000043,43.26897683205271,22.823938786343767,10.309132330577349,0
7.656305710884955,25.071390262298834,13.401703999472248,28.566371251754507,0
6.779277690223528,7.949031453974031,35.16344469123608,18.563682966346285,0
7.300170052944527,47.01012369149597,31.101802882696735,29.333096380873396,0
7.366775698358199,36.421539063265534,13.956192547499596,29.272399541785056,0
6.462136138813817,54.06228742149475,22.588565640991234,27.060189109347203,0
8.423961569411397,36.41144507783954,46.51410366673285,15.888977841391714,0
7.937832058402787,59.65270502229781,21.103351845344957,17.701954572038506,0
8.348747353910472,38.63347871421399,17.506005139466478,27.022733430337137,0
8.237068376069121,39.26565800747704,30.599204890547394,16.338440103125553,0
7.494749947027713,61.36575218608415,49.45471725620283,13.38985493372185,0
8.304685587557792,28.243800634867792,21.198100317437017,21.136025249167005,0
6.221231255129799,9.381065991544853,37.541150801423385,28.72309548321562,0
6.489957156047863,2.014787341933728,40.94154538249127,23.92059593349946,0
6.113068222276345,52.85960789715333,21.030226671711187,21.4012234,0
6.8133258269081605,43.42166859474253,39.67222124725066,11.94352987541537,0
6.971693224223705,49.28558376694565,25.97575904333162,22.3001445339834,0
6.678372579,14.90749130562375,36.02762156255602,29.801077002085265,0
8.071843772879824,9.546003291073884,36.07412901,12.80168030473048,0
6.891883316733973,1.018126596751735,32.35943799484082,20.366593047274733,1
6.702336274218452,24.54112911646179,15.431011262067516,27.547461438559107,0
7.356740207895621,41.29423807982432,43.74149483239104,24.815372355084087,0
6.352310562436907,27.457083156981263,24.18964246892596,23.94031481990536,0
8.005492452,30.623244541661037,19.08770339519446,24.049681679742186,0
6.186376609199427,63.29110861456239,13.549455379081028,17.189823024395103,0
