pH,Turbidez,Conductividad,Solidos Disueltos Totales ,,,,
6.936350297118406,48.87131998138216,13.194309056095902,22.840632923085757,,,,
8.376785766,37.52674564408843,36.18359562802365,11.682799299900976,,,,
7.8299848545285125,21.666933140042943,23.945527280900414,13.232574281892276,,,,
7.4966462104925915,56.96565137948641,31.325686264258707,27.971083770541586,,,,
6.390046601106091,47.93118207877155,46.487526009191534,22.12858119,,,,
6.389986300840507,11.38318575414239,21.47310470765725,10.183941032332593,,,,
6.1452090304204985,63.76490291456897,27.59455107535393,12.029430857320643,,,,
8.165440364437337,57.57760700462183,40.71094326463585,23.270035382161115,,,,
7.502787529358022,66.48599393043469,20.694330288681655,10.101231676924375,,,,
7.770181444490113,50.80036559,14.925236573494134,13.216161028349973,,,,
6.051461235739506,42.93906371550529,23.010555210723183,20.974675787331723,,,,
8.424774630404986,29.27701254034332,18.126408915652167,23.837903953853864,,,,
8.081106602001054,65.29099383478093,47.32851078901778,23.03922519005201,,,,
6.5308477766956905,60.62447226502859,42.70857442344784,14.485386189211196,,,,
6.454562418017751,3.1653069074332585,36.06934274739609,24.24358442695072,,,,
6.458511274633585,1.8456882148076403,45.11550242713327,14.744981749936002,,,,
6.760605607398844,26.352435681463472,42.53953892216635,16.507993963185356,,,,
7.311891079080595,56.73873315,19.089662237669362,24.92982810236048,,,,
7.079862546605289,69.10932905,45.91724194261916,22.992657980944294,,,,
6.728072850495105,10.529182377246972,32.49500519279473,26.98446820988356,,,,
7.5296322368059485,41.58915007464946,42.68272589623437,23.15225784600687,,,,
6.348734651630105,26.662359964171507,46.051469397092745,21.36617206670943,,,,
6.730361621338045,67.89400784702222,24.084132048930826,11.87349535656185,,,,
6.9159046082342295,58.94832461949961,16.181973132051716,17.35431606118867,,,,
7.1401749605425895,58.68300932977965,20.661536176593785,15.304047353634509,,,,
7.962939903482534,32.80852118564792,28.23009596779774,14.87979286758167,,,,
6.499184455395899,29.03736516363656,43.08456110505474,29.460211095048912,,,,
7.285586096034029,19.138495035149436,44.70776216374105,17.861954493335208,,,,
7.481036422155106,3.946284765564898,12.264180960185247,27.840931103542268,,,,
6.116126031799994,60.53056633785373,31.408397497947497,22.622772519945258,,,,
7.518862129753596,56.90307063910543,27.861618119653603,25.896226070832967,,,,
6.426310309218229,69.98023713002914,20.440096797887747,20.052741862103844,,,,
6.162628982463199,69.76457859517338,16.554883958679945,21.53807769252718,,,,
8.372213843133334,38.88021939218392,24.829376513337863,19.850353876377277,,,,
8.414080082686398,53.82911906263573,47.83056874867573,13.90485975596089,,,,
8.020993370291153,66.13360109176996,24.28171142,24.44904230523011,,,,
6.761534422933426,59.47531735,31.71404362624791,15.615447248817116,,,,
6.244180285015959,17.314367122023835,38.714720438016755,10.486319328629076,,,,
7.710582566280392,31.538089471706545,25.81792489041317,22.909445918143355,,,,
7.100381234349003,9.041159060604649,48.92771914339651,13.542213588140978,,,,
6.305095587111947,66.78357190811056,48.57299720780023,28.809171687058285,,,,
7.237942275278176,42.432224411561606,21.567727241363837,29.078571540051747,,,,
6.085971302788046,16.00499638524239,30.895443223910647,28.29728780440897,,,,
8.273301005196956,47.01904790840997,23.43337577303725,17.403174005108887,,,,
6.646949954000043,43.26897683205271,22.823938786343767,10.309132330577349,,,,
7.656305710884955,25.071390262298834,13.401703999472247,28.566371251754507,,,,
6.779277690223528,7.949031453974031,35.16344469123608,18.563682966346285,,,,
7.300170052944527,47.01012369149597,31.101802882696738,29.333096380873393,,,,
7.366775698358199,36.421539063265534,13.956192547499596,29.272399541785056,,,,
6.462136138813817,54.06228742149475,22.588565640991234,27.060189109347203,,,,
8.423961569411397,36.41144507783954,46.514103666732844,15.888977841391714,,,,
7.937832058402787,59.65270502229781,21.103351845344953,17.701954572038506,,,,
8.348747353910472,38.633478714213986,17.506005139466478,27.022733430337137,,,,
8.237068376069121,39.265658007477036,30.599204890547394,16.338440103125553,,,,
7.494749947027713,61.36575218608415,49.45471725620283,13.38985493372185,,,,
8.304685587557792,28.243800634867792,21.198100317437017,21.136025249167005,,,,
