pH,Conductividad uS/cm,Solidos Disueltos Totales SDT mg/l ppm,DQO mg/l,DBO5 mg/l,Turbidez NTU
6.936350297118406,13.194309056095902,22.840632923085757,11.033634423372154,12.062477376718652,48.87131998138216
8.37678576602479,36.18359562802365,11.682799299900976,20.62709263136296,28.051058133591333,37.52674564408843
7.8299848545285125,23.945527280900414,13.232574281892276,20.81270243220213,20.105047448957144,21.666933140042943
7.4966462104925915,31.325686264258707,27.971083770541586,22.748598029964132,26.529149322154833,56.96565137948641
6.390046601106091,46.487526009191534,22.1285811931918,24.52182667445323,16.400992020612236,47.93118207877155
6.389986300840507,21.47310470765725,10.183941032332593,29.51704158925069,27.91046456992401,11.38318575414239
6.1452090304204985,27.59455107535393,12.029430857320643,20.326006966023904,17.784033574683264,63.76490291456897
8.165440364437337,40.71094326463585,23.270035382161115,16.45912945882492,10.216753029605968,57.57760700462183
7.502787529358022,20.694330288681655,10.101231676924375,25.90372389537407,28.107639528385274,66.48599393043469
7.770181444490113,14.925236573494134,13.216161028349973,15.416645025241484,11.825733535722671,50.8003655871852
6.051461235739506,23.010555210723183,20.974675787331723,18.779428414112722,16.3862727518083,42.93906371550529
8.424774630404986,18.126408915652167,23.837903953853864,11.569127626845319,29.0012393410161,29.27701254034332
8.081106602001054,47.32851078901778,23.03922519005201,10.50701486830915,29.012142938751122,65.29099383478093
6.5308477766956905,42.70857442344784,14.485386189211196,29.252968293558503,21.46875776246572,60.62447226502859
6.454562418017751,36.06934274739609,24.24358442695072,26.719602410244118,22.636744243395984,3.1653069074332585
6.458511274633585,45.11550242713327,14.744981749936002,23.91948412187396,18.968910439566393,1.8456882148076403
6.760605607398844,42.53953892216635,16.507993963185356,18.179058888285397,15.864215433961292,26.352435681463472
7.311891079080595,19.089662237669362,24.92982810236048,13.465886401416915,16.57329090739832,56.7387331547283
7.079862546605289,45.91724194261916,22.992657980944294,13.128740853421721,23.450369121540767,69.1093290520461
6.728072850495105,32.49500519279473,26.98446820988356,15.004857963291906,25.0474905887536,10.529182377246972
7.5296322368059485,42.68272589623437,23.15225784600687,20.984533294122407,25.83158087451697,41.58915007464946
6.348734651630105,46.051469397092745,21.36617206670943,24.291918454001248,25.792362855891078,26.662359964171507
